name,point,gaff_energy
C6H6-C,0,8439.631953756896
C6H6-C,1,3420.359315035404
C6H6-C,2,1548.9545077473063
C6H6-C,3,641.7008656986912
C6H6-C,4,178.68500470417658
C6H6-C,5,19.456137364738208
C6H6-C,6,121.92971572713977
C6H6-C,7,472.38556864698467
C6H6-C,8,1066.0262428522735
C6H6-C,9,1901.0884798813936
C6H6-C,10,2976.895156312762
C6H6-C,11,4293.181259502968
C6H6-C,12,5849.840021390217
C6H6-C,13,7646.835443361688
C6H6-C,14,9684.154028446408
C6H6-C,15,11961.798294562923
C6H6-C,16,14480.535590945843
C6H6-C,17,17238.905258838575
C6H6-C,18,20237.608128214182
C6H6-C,19,23476.645321788423
C6H6-C,20,26956.02315944897
C6H6-C,21,30675.743690013955
C6H6-C,22,34635.804761678526
C6H6-C,23,38836.20958759675
C6H6-C,24,43276.957317219436
C6H6-C,25,47958.052579996795
C6H6-C,26,52879.496040274535
C6H6-C,27,58041.28254098285
C6H6-C,28,63443.416828342306
C6H6-C,29,69085.90008993282
C6H6-C,30,74968.72934674812
C6H6-C,31,81091.91047805679
C6H6-C,32,87455.43612489922
C6H6-C,33,94059.31397259324
C6H6-C,34,100903.53848721061
C6H6-C,35,107990.19287146974
C6H6-C,36,115315.18603688596
C6H6-C,37,122880.52420765186
C6H6-C,38,130686.21500639577
C6H6-C,39,138732.25279751723
C6H6-C,40,147018.63761574705
C6H6-C,41,155545.3751628287
C6H6-C,42,164312.45789457424
C6H6-C,43,173319.89339240672
C6H6-C,44,182567.67599644486
C6H6-C,45,192055.80571739678
C6H6-H,0,2258.160849663781
C6H6-H,1,1458.719695986143
C6H6-H,2,836.7253444261643
C6H6-H,3,390.24584254842927
C6H6-H,4,118.01918493169728
C6H6-H,5,19.456137364738208
C6H6-H,6,94.24513309290826
C6H6-H,7,342.162014117601
C6H6-H,8,763.3659859560718
C6H6-H,9,1357.4673541981792
C6H6-H,10,2125.1326198958886
C6H6-H,11,3065.197215343239
C6H6-H,12,4178.188794645711
C6H6-H,13,5464.788616279808
C6H6-H,14,6923.450178008993
C6H6-H,15,8555.831228740899
C6H6-H,16,10360.61431001257
C6H6-H,17,12338.658572624377
C6H6-H,18,14490.423497161064
C6H6-H,19,16814.073458780284
C6H6-H,20,19311.071554960858
C6H6-H,21,21980.58567371149
C6H6-H,22,24823.506034329486
C6H6-H,23,27840.43639859014
C6H6-H,24,31028.82039210438
C6H6-H,25,34390.697633227304
C6H6-H,26,37924.94760489838
C6H6-H,27,41632.748709747575
C6H6-H,28,45514.84874673347
C6H6-H,29,49567.97048643671
C6H6-H,30,53794.73005384667
C6H6-H,31,58193.718549980025
C6H6-H,32,62766.402608538236
C6H6-H,33,67513.67412043165
C6H6-H,34,72431.535054017
C6H6-H,35,77523.17809576307
C6H6-H,36,82787.79787817669
C6H6-H,37,88224.47370967527
C6H6-H,38,93835.96768251272
C6H6-H,39,99619.51770699485
C6H6-H,40,105576.0444783326
C6H6-H,41,111705.54799385303
C6H6-H,42,118006.963402361
C6H6-H,43,124483.48524239748
C6H6-H,44,131131.91896646103
C6H6-H,45,137953.32941716985
CH3OH,0,367.8472955810839
CH3OH,1,243.86234864177422
CH3OH,2,146.20427988624056
CH3OH,3,74.87146916162419
CH3OH,4,29.862318174168948
CH3OH,5,11.175286265965688
CH3OH,6,18.808910985638384
CH3OH,7,52.761818586711556
CH3OH,8,113.0327279618025
CH3OH,9,199.62045039004553
CH3OH,10,312.5238866972168
CH3OH,11,451.74202289670717
CH3OH,12,617.2739250183653
CH3OH,13,809.1187335877005
CH3OH,14,1027.2756580527787
CH3OH,15,1271.7439713450601
CH3OH,16,1542.5230046859303
CH3OH,17,1839.612142701099
CH3OH,18,2163.010818872319
CH3OH,19,2512.7185113345863
CH3OH,20,2888.7347390134746
CH3OH,21,3291.059058088931
CH3OH,22,3719.6910587670877
CH3OH,23,4174.630362339208
CH3OH,24,4655.876618505947
CH3OH,25,5163.429502945294
CH3OH,26,5697.28871510318
CH3OH,27,6257.453976186922
CH3OH,28,6843.925027342939
CH3OH,29,7456.701628001537
CH3OH,30,8095.7835543729925
CH3OH,31,8761.170598080587
CH3OH,32,9452.862564917377
CH3OH,33,10170.859273714868
CH3OH,34,10915.160555312908
CH3OH,35,11685.76625162092
CH3OH,36,12482.676214761865
CH3OH,37,13305.890306291003
CH3OH,38,14155.408396482248
CH3OH,39,15031.230363675884
CH3OH,40,15933.356093681721
CH3OH,41,16861.78547923255
CH3OH,42,17816.518419483295
CH3OH,43,18797.554819551533
CH3OH,44,19804.89459009572
CH3OH,45,20838.53764692757
CH4,0,1468.2951949170426
CH4,1,949.022295036165
CH4,2,542.5071182600925
CH4,3,249.02568824577634
CH4,4,68.47493498158931
CH4,5,0.9223270912831514
CH4,6,46.34116494501345
CH4,7,204.7188381729704
CH4,8,476.1827669433166
CH4,9,860.30501877061
CH4,10,1357.9002188619902
CH4,11,1968.001933551154
CH4,12,2691.322602877138
CH4,13,3527.7052445502623
CH4,14,4476.783300093497
CH4,15,5538.871598061477
CH4,16,6714.434176282237
CH4,17,8002.160989640114
CH4,18,9403.727047812867
CH4,19,10917.720450492112
CH4,20,12544.937381949436
CH4,21,14284.413714920829
CH4,22,16138.020315237565
CH4,23,18103.876193940247
CH4,24,20183.02714596315
CH4,25,22374.253012102286
CH4,26,24679.93385169745
CH4,27,27097.618509202
CH4,28,29628.70347331782
CH4,29,32272.353912132417
CH4,30,35030.069803509556
CH4,31,37898.25764050696
CH4,32,40882.72614790058
CH4,33,43977.47928647894
CH4,34,47186.4660840487
CH4,35,50508.70733111569
CH4,36,53942.86567066554
CH4,37,57490.19123390372
CH4,38,61151.11204346715
CH4,39,64924.419517114795
CH4,40,68812.23753983322
CH4,41,72810.48974476987
CH4,42,76924.38676532968
CH4,43,81148.51452304565
CH4,44,85487.33716665958
CH4,45,89939.50173453473
CO,0,934.5132004847038
