name,phi,psi,theta,fchl_energy
ala-ala,-180,20,,-1297.3391820788383
ala-ala,-180,40,,-1297.3391820788383
ala-ala,-180,60,,-1297.3391820788383
ala-ala,-180,80,,-1297.3391820788383
ala-ala,-180,100,,-1297.3391820788383
ala-ala,-180,120,,-1297.3391820788383
ala-ala,-180,140,,-1297.3391820788383
ala-ala,-180,160,,-1297.3391820788383
ala-ala,-180,180,,-1297.3391820788383
ala-ala,-180,-20,,-1297.3391820788383
ala-ala,-180,-40,,-1297.3391820788383
ala-ala,-180,-60,,-1297.3391820788383
ala-ala,-180,-80,,-1297.3391820788383
ala-ala,-180,-100,,-1297.3391820788383
ala-ala,-180,-120,,-1297.3391820788383
ala-ala,-180,-140,,-1297.3391820788383
ala-ala,-180,-160,,-1297.3391820788383
ala-ala,-180,-180,,-1297.3391820788383
aspartame,0,0,,-1297.3391820788383
aspartame,0,20,,-1297.3391820788383
aspartame,0,40,,-1297.3391820788383
aspartame,0,60,,-1297.3391820788383
aspartame,0,80,,-1297.3391820788383
aspartame,0,100,,-1297.3391820788383
aspartame,0,120,,-1297.3391820788383
aspartame,0,140,,-1297.3391820788383
aspartame,0,160,,-1297.3391820788383
aspartame,0,180,,-1297.3391820788383
aspartame,0,-20,,-1297.3391820788383
aspartame,0,-40,,-1297.3391820788383
aspartame,0,-60,,-1297.3391820788383
aspartame,0,-80,,-1297.3391820788383
aspartame,0,-100,,-1297.3391820788383
aspartame,0,-120,,-1297.3391820788383
aspartame,0,-140,,-1297.3391820788383
aspartame,0,-160,,-1297.3391820788383
aspartame,0,-180,,-1297.3391820788383
aspartame,20,0,,-1297.3391820788383
aspartame,20,20,,-1297.3391820788383
aspartame,20,40,,-1297.3391820788383
aspartame,20,60,,-1297.3391820788383
aspartame,20,80,,-1297.3391820788383
aspartame,20,100,,-1297.3391820788383
aspartame,20,120,,-1297.3391820788383
aspartame,20,140,,-1297.3391820788383
aspartame,20,160,,-1297.3391820788383
aspartame,20,180,,-1297.3391820788383
aspartame,20,-20,,-1297.3391820788383
aspartame,20,-40,,-1297.3391820788383
aspartame,20,-60,,-1297.3391820788383
aspartame,20,-80,,-1297.3391820788383
aspartame,20,-100,,-1297.3391820788383
aspartame,20,-120,,-1297.3391820788383
aspartame,20,-140,,-1297.3391820788383
aspartame,20,-160,,-1297.3391820788383
aspartame,20,-180,,-1297.3391820788383
aspartame,40,0,,-1297.3391820788383
aspartame,40,20,,-1297.3391820788383
aspartame,40,40,,-1297.3391820788383
aspartame,40,60,,-1297.3391820788383
aspartame,40,80,,-1297.3391820788383
aspartame,40,100,,-1297.3391820788383
aspartame,40,120,,-1297.3391820788383
aspartame,40,140,,-1297.3391820788383
aspartame,40,160,,-1297.3391820788383
aspartame,40,180,,-1297.3391820788383
aspartame,40,-20,,-1297.3391820788383
aspartame,40,-40,,-1297.3391820788383
aspartame,40,-60,,-1297.3391820788383
aspartame,40,-80,,-1297.3391820788383
aspartame,40,-100,,-1297.3391820788383
aspartame,40,-120,,-1297.3391820788383
aspartame,40,-140,,-1297.3391820788383
aspartame,40,-160,,-1297.3391820788383
aspartame,40,-180,,-1297.3391820788383
aspartame,60,0,,-1297.3391820788383
aspartame,60,20,,-1297.3391820788383
aspartame,60,40,,-1297.3391820788383
aspartame,60,60,,-1297.3391820788383
aspartame,60,80,,-1297.3391820788383
aspartame,60,100,,-1297.3391820788383
aspartame,60,120,,-1297.3391820788383
aspartame,60,140,,-1297.3391820788383
aspartame,60,160,,-1297.3391820788383
aspartame,60,180,,-1297.3391820788383
aspartame,60,-20,,-1297.3391820788383
aspartame,60,-40,,-1297.3391820788383
aspartame,60,-60,,-1297.3391820788383
aspartame,60,-80,,-1297.3391820788383
aspartame,60,-100,,-1297.3391820788383
aspartame,60,-120,,-1297.3391820788383
aspartame,60,-140,,-1297.3391820788383
aspartame,60,-160,,-1297.3391820788383
aspartame,60,-180,,-1297.3391820788383
aspartame,80,0,,-1297.3391820788383
aspartame,80,20,,-1297.3391820788383
aspartame,80,40,,-1297.3391820788383
aspartame,80,60,,-1297.3391820788383
aspartame,80,80,,-1297.3391820788383
aspartame,80,100,,-1297.3391820788383
aspartame,80,120,,-1297.3391820788383
aspartame,80,140,,-1297.3391820788383
aspartame,80,160,,-1297.3391820788383
aspartame,80,180,,-1297.3391820788383
aspartame,80,-20,,-1297.3391820788383
aspartame,80,-40,,-1297.3391820788383
aspartame,80,-60,,-1297.3391820788383
aspartame,80,-80,,-1297.3391820788383
aspartame,80,-100,,-1297.3391820788383
aspartame,80,-120,,-1297.3391820788383
aspartame,80,-140,,-1297.3391820788383
aspartame,80,-160,,-1297.3391820788383
aspartame,80,-180,,-1297.3391820788383
aspartame,100,0,,-1297.3391820788383
aspartame,100,20,,-1297.3391820788383
aspartame,100,40,,-1297.3391820788383
aspartame,100,60,,-1297.3391820788383
