name,phi,psi,theta,energy
ala-ala,-60,-140,nan,-15535.154622412814
ala-ala,-60,-160,nan,-15535.040889979975
ala-ala,-60,-180,nan,-15535.273976173581
ala-ala,-60,-20,nan,-15534.90232334868
ala-ala,-60,-40,nan,-15535.075451704353
ala-ala,-60,-60,nan,-15535.13298582422
ala-ala,-60,-80,nan,-15535.237891700093
ala-ala,-60,0,nan,-15535.100078552052
ala-ala,-60,100,nan,-15534.917591656833
ala-ala,-60,120,nan,-15535.06492171468
ala-ala,-60,140,nan,-15535.254355948618
ala-ala,-60,160,nan,-15535.116940631025
ala-ala,-60,180,nan,-15535.094645799027
ala-ala,-60,20,nan,-15535.120900976008
ala-ala,-60,40,nan,-15535.260858925416
ala-ala,-60,60,nan,-15535.029144729846
ala-ala,-60,80,nan,-15535.15235842558
ala-ala,-80,-100,nan,-15534.821058179912
ala-ala,-80,-120,nan,-15534.944655011946
ala-ala,-80,-140,nan,-15535.066350856625
ala-ala,-80,-160,nan,-15534.911082965642
ala-ala,-80,-180,nan,-15535.001235372767
ala-ala,-80,-20,nan,-15534.999750175371
ala-ala,-80,-40,nan,-15535.03833292612
ala-ala,-80,-60,nan,-15534.909174086983
ala-ala,-80,-80,nan,-15534.969765133843
ala-ala,-80,0,nan,-15534.855930114081
ala-ala,-80,100,nan,-15534.928922205456
ala-ala,-80,120,nan,-15534.819900879707
ala-ala,-80,140,nan,-15534.983972197979
ala-ala,-80,160,nan,-15534.905417283162
ala-ala,-80,180,nan,-15535.063687406257
ala-ala,-80,20,nan,-15534.864346867593
ala-ala,-80,40,nan,-15534.991071920454
ala-ala,-80,60,nan,-15534.915875979004
ala-ala,-80,80,nan,-15535.048598965359
ala-ala,0,-100,nan,-15535.009462190812
ala-ala,0,-120,nan,-15527.260136199924
ala-ala,0,-140,nan,-15532.195306464066
ala-ala,0,-160,nan,-15534.703356422333
ala-ala,0,-180,nan,-15529.704811114523
ala-ala,0,-20,nan,-15506.073422821706
ala-ala,0,-40,nan,-15534.817946558032
ala-ala,0,-60,nan,-15533.473307122455
ala-ala,0,-80,nan,-15531.368376690529
ala-ala,0,0,nan,-15534.678770663828
ala-ala,0,100,nan,-15529.538732956602
ala-ala,0,120,nan,-15534.95130737925
ala-ala,0,140,nan,-15530.696345277367
ala-ala,0,160,nan,-15533.799604282867
ala-ala,0,180,nan,-15534.691409807956
ala-ala,0,20,nan,-15534.079294871419
ala-ala,0,40,nan,-15530.255018789503
ala-ala,0,60,nan,-15534.788254583122
ala-ala,0,80,nan,-15530.960742795405
ala-ala,100,-100,nan,-15535.090062313331
ala-ala,100,-120,nan,-15520.284363490227
