name,phi,psi,theta,cnn_energy
ala-ala,140.0,60.0,,-358224.74575647997
ala-ala,-140.0,-80.0,,-358233.1221145122
ala-ala,-140.0,80.0,,-358234.8940261333
ala-ala,140.0,-80.0,,-358229.8020919292
ala-ala,140.0,80.0,,-358233.32238611864
ala-ala,-160.0,0.0,,-358235.26882776903
ala-ala,160.0,0.0,,-358232.89643702196
ala-ala,-160.0,-100.0,,-358231.8558028667
ala-ala,-160.0,100.0,,-358230.88136133837
ala-ala,160.0,-100.0,,-358229.9933761089
ala-ala,160.0,100.0,,-358225.4237349956
ala-ala,-160.0,-120.0,,-358230.6001876323
ala-ala,-160.0,120.0,,-358232.9114364116
ala-ala,160.0,-120.0,,-358219.8278945415
ala-ala,160.0,120.0,,-358231.51865992235
ala-ala,-160.0,-140.0,,-358231.112364146
ala-ala,-160.0,140.0,,-358235.799864146
ala-ala,160.0,-140.0,,-358231.261595103
ala-ala,160.0,140.0,,-358230.1299575298
ala-ala,-160.0,-160.0,,-358227.51865992235
ala-ala,-160.0,160.0,,-358227.64785608934
ala-ala,160.0,-160.0,,-358227.15536341356
ala-ala,160.0,160.0,,-358226.8744643657
ala-ala,-160.0,-180.0,,-358234.2179549663
ala-ala,-160.0,180.0,,-358234.2056563823
ala-ala,160.0,-180.0,,-358233.8454879253
ala-ala,160.0,180.0,,-358230.4751723735
ala-ala,-160.0,-20.0,,-358215.4589827983
ala-ala,-160.0,20.0,,-358232.24868616747
ala-ala,160.0,-20.0,,-358214.7366317241
ala-ala,160.0,20.0,,-358231.502409312
ala-ala,-160.0,-40.0,,-358230.8319686382
ala-ala,-160.0,40.0,,-358233.3230422466
ala-ala,160.0,-40.0,,-358229.65342554735
ala-ala,160.0,40.0,,-358231.91262659716
ala-ala,-160.0,-60.0,,-358228.4606612651
ala-ala,-160.0,60.0,,-358226.80576929735
ala-ala,160.0,-60.0,,-358227.61965784716
ala-ala,160.0,60.0,,-358224.96424708056
ala-ala,-160.0,-80.0,,-358234.4404586284
ala-ala,-160.0,80.0,,-358231.5652297466
ala-ala,160.0,-80.0,,-358232.3527205913
ala-ala,160.0,80.0,,-358232.7860702007
ala-ala,-180.0,0.0,,-358230.2480758159
ala-ala,180.0,0.0,,-358235.4475539653
ala-ala,-180.0,-100.0,,-358226.63961634325
ala-ala,-180.0,100.0,,-358222.33407435106
ala-ala,180.0,-100.0,,-358234.01226648974
ala-ala,180.0,100.0,,-358235.6943648784
ala-ala,-180.0,-120.0,,-358223.67477259325
ala-ala,-180.0,120.0,,-358228.74117884325
ala-ala,180.0,-120.0,,-358236.24087366747
ala-ala,180.0,120.0,,-358233.17545923876
ala-ala,-180.0,-140.0,,-358230.5671065776
ala-ala,-180.0,140.0,,-358227.5613997905
ala-ala,180.0,-140.0,,-358230.9120009868
ala-ala,180.0,140.0,,-358234.4792464702
ala-ala,-180.0,-160.0,,-358223.52352747606
ala-ala,-180.0,160.0,,-358225.7522567241
ala-ala,180.0,-160.0,,-358225.2897628276
ala-ala,180.0,160.0,,-358227.03176722216
ala-ala,-180.0,-180.0,,-358228.2867110698
ala-ala,-180.0,180.0,,-358226.9124129741
ala-ala,180.0,-180.0,,-358231.05203089403
ala-ala,180.0,180.0,,-358229.72555384325
ala-ala,-180.0,-20.0,,-358230.0940383403
ala-ala,-180.0,20.0,,-358226.14353785204
ala-ala,180.0,-20.0,,-358231.72903284716
ala-ala,180.0,20.0,,-358234.13500818895
ala-ala,-180.0,-40.0,,-358228.24844202684
ala-ala,-180.0,40.0,,-358227.7394698589
ala-ala,180.0,-40.0,,-358230.1829055278
ala-ala,180.0,40.0,,-358229.53133997606
ala-ala,-180.0,-60.0,,-358224.54672083544
ala-ala,-180.0,60.0,,-358223.68818506884
ala-ala,180.0,-60.0,,-358226.62080225634
ala-ala,180.0,60.0,,-358226.00567469286
ala-ala,-180.0,-80.0,,-358227.8662551372
ala-ala,-180.0,80.0,,-358230.68246302294
ala-ala,180.0,-80.0,,-358232.98348841356
ala-ala,180.0,80.0,,-358229.1116622417
ala-ala,-20.0,0.0,,-358229.07458338427
ala-ala,20.0,0.0,,-358235.6989882915
ala-ala,-20.0,-100.0,,-358234.3283370464
