name,phi,psi,theta,gaff_energy
ala-ala,-60,80,,44.01932539376024
ala-ala,-80,-100,,90.31201666522358
ala-ala,-80,-120,,89.57446600407039
ala-ala,-80,-140,,83.41650761282976
ala-ala,-80,-160,,98.58753569043864
ala-ala,-80,-180,,94.87189060384665
ala-ala,-80,-20,,88.03061001077565
ala-ala,-80,-40,,86.67727821378861
ala-ala,-80,-60,,100.77402752770712
ala-ala,-80,-80,,91.25738099523237
ala-ala,-80,0,,90.00195882397546
ala-ala,-80,100,,89.65964352853341
ala-ala,-80,120,,90.30771025699993
ala-ala,-80,140,,91.60404677639616
ala-ala,-80,160,,101.00101408374236
ala-ala,-80,180,,85.18175060966425
ala-ala,-80,20,,90.40789916106529
ala-ala,-80,40,,95.80761101388183
ala-ala,-80,60,,97.35407343611352
ala-ala,-80,80,,83.95173414561498
ala-ala,0,-100,,45.72921508852107
ala-ala,0,-120,,8032.234170735793
ala-ala,0,-140,,1769.8870183914069
ala-ala,0,-160,,76.88407780449236
ala-ala,0,-180,,5659.187630815911
ala-ala,0,-20,,41026.53418212863
ala-ala,0,-40,,88.3480247676599
ala-ala,0,-60,,528.9966394813334
ala-ala,0,-80,,2673.0879953024314
ala-ala,0,0,,154.22852699277968
ala-ala,0,100,,4543.74098709226
ala-ala,0,120,,47.870343910149735
ala-ala,0,140,,3676.116940470911
ala-ala,0,160,,347.1454111631776
ala-ala,0,180,,123.21990104945161
ala-ala,0,20,,217.01776396255502
ala-ala,0,40,,4748.3982671557515
ala-ala,0,60,,66.6951264914842
ala-ala,0,80,,3236.7515460594554
ala-ala,100,-100,,35.06136943108601
ala-ala,100,-120,,7265.782679355951
ala-ala,100,-140,,40.776179677245494
ala-ala,100,-160,,129.81378962057613
ala-ala,100,-180,,819.4243931195787
ala-ala,100,-20,,1297.6393161831961
ala-ala,100,-40,,18.743477304921413
ala-ala,100,-60,,925.7098109842625
ala-ala,100,-80,,101.08792606512193
ala-ala,100,0,,782.7005975419534
ala-ala,100,100,,6886.795657593746
ala-ala,100,120,,23.47635509784589
ala-ala,100,140,,149.14714741467864
ala-ala,100,160,,721.6800055971025
ala-ala,100,180,,16.61811105311842
ala-ala,100,20,,15.109628092413672
ala-ala,100,40,,1023.4398950894209
ala-ala,100,60,,91.0743030167375
ala-ala,100,80,,63.23649356424194
ala-ala,120,-100,,6.706137906680155
ala-ala,120,-120,,40.54946080951579
ala-ala,120,-140,,1212.3326263048516
ala-ala,120,-160,,9.248206450759248
ala-ala,120,-180,,89.76496130961151
ala-ala,120,-20,,577.1437252694656
ala-ala,120,-40,,127.39149987454664
ala-ala,120,-60,,13.013345977842569
ala-ala,120,-80,,318.9613664360198
ala-ala,120,0,,-5.313426082840351
ala-ala,120,100,,22.755289523868043
ala-ala,120,120,,13.592214414094222
ala-ala,120,140,,289.7989428102628
ala-ala,120,160,,11.189584186717063
ala-ala,120,180,,206.73724330070613
ala-ala,120,20,,160.97862193226177
ala-ala,120,40,,65.47875780406318
ala-ala,120,60,,10.59133602860824
ala-ala,120,80,,1401.9585484636616
ala-ala,140,-100,,94.17215683246735
ala-ala,140,-120,,93.90699098533804
ala-ala,140,-140,,87.87365740032324
ala-ala,140,-160,,102.71337371758912
ala-ala,140,-180,,98.76503491850607
ala-ala,140,-20,,92.01437716554231
ala-ala,140,-40,,91.28549712028553
ala-ala,140,-60,,104.69485439842273
ala-ala,140,-80,,95.00327142504223
ala-ala,140,0,,94.11129777484356
ala-ala,140,100,,94.0600973778608
ala-ala,140,120,,94.16176136279782
ala-ala,140,140,,95.37609905896093
ala-ala,140,160,,104.94161294777399
ala-ala,140,180,,89.9182742148422
ala-ala,140,20,,94.1464600186337
ala-ala,140,40,,99.66563383766004
ala-ala,140,60,,101.52678532870921
ala-ala,140,80,,88.25767301490517
ala-ala,160,-100,,20.309264668023545
ala-ala,160,-120,,26.10931777661642
ala-ala,160,-140,,19.788955090784142
ala-ala,160,-160,,33.37370717500551
ala-ala,160,-180,,25.65062176039416
ala-ala,160,-20,,26.77837509269449
ala-ala,160,-40,,24.150002584615066
ala-ala,160,-60,,33.32045813529902
ala-ala,160,-80,,21.324950274777223
ala-ala,160,0,,20.39204056388209
ala-ala,160,100,,24.813146943501437
ala-ala,160,120,,20.32037032587725
ala-ala,160,140,,21.75470003037279
ala-ala,160,160,,33.84052545648106
ala-ala,160,180,,22.81365103716732
ala-ala,160,20,,20.39917713138157
ala-ala,160,40,,26.78100740972566
ala-ala,160,60,,32.580687314157814
ala-ala,160,80,,20.041970653582283
ala-ala,180,-100,,-19.56774085299068
ala-ala,180,-120,,-17.215829364836694
ala-ala,180,-140,,-13.593502642968133
ala-ala,180,-160,,-1.2988204804177812
ala-ala,180,-180,,-9.535200769577216
ala-ala,180,-20,,-13.168926241764794
ala-ala,180,-40,,-10.174564741186124
ala-ala,180,-60,,-1.297448361318608
ala-ala,180,-80,,-15.37548818144171
ala-ala,180,0,,-19.818390479677063
ala-ala,180,100,,-17.827860192168217
ala-ala,180,120,,-19.402076281476425
ala-ala,180,140,,-14.66949385720077
ala-ala,180,160,,-0.7561479817664676
ala-ala,180,180,,-11.374654059483603
ala-ala,180,20,,-18.076045332659227
ala-ala,180,40,,-8.231273085040627
ala-ala,180,60,,-2.097007896995038
ala-ala,180,80,,-13.395035077521499
ala-ala,20,-100,,7.482094330632847
ala-ala,20,-120,,5.278634657251615
ala-ala,20,-140,,10.946948708492656
ala-ala,20,-160,,14.949399204166454
ala-ala,20,-180,,13.200339739684132
ala-ala,20,-20,,12.39937391136668
ala-ala,20,-40,,7.077919227394972
ala-ala,20,-60,,16.997426007588736
ala-ala,20,-80,,14.023516478857474
ala-ala,20,0,,4.722675469190932
ala-ala,20,100,,4.720275214121571
ala-ala,20,120,,8.161933530911305
ala-ala,20,140,,13.65740162891477
ala-ala,20,160,,17.175232569145628
ala-ala,20,180,,6.916077512747933
ala-ala,20,20,,13.242240367889309
ala-ala,20,40,,13.611228685493877
ala-ala,20,60,,13.87490857530473
ala-ala,20,80,,12.176949434795034
ala-ala,40,-100,,142.44032487308732
ala-ala,40,-120,,146.14732107761805
ala-ala,40,-140,,139.0645656045971
ala-ala,40,-160,,152.9620361621842
ala-ala,40,-180,,147.17399599653334
ala-ala,40,-20,,142.72544467059785
ala-ala,40,-40,,143.4280790123666
ala-ala,40,-60,,153.74554676081794
ala-ala,40,-80,,143.25302396955956
ala-ala,40,0,,143.1721760734129
ala-ala,40,100,,145.9594624889758
ala-ala,40,120,,142.44497053699507
ala-ala,40,140,,143.62258595942183
ala-ala,40,160,,154.06655058327695
